Продукт,Калорийность,Белки,Жиры,Углеводы
Молочный Шоколад с Кокосовой Начинкой [Яшкино],570 кКал,"4,5 г",36 г,56 г
Молочный Шоколад с Крекером Рыбки [Яшкино],515 кКал,"5,5 г",28 г,60 г
Молочный Шоколад с Начинкой Груша [Яшкино],420 кКал,3 г,17 г,64 г
Молочный Шоколад с Начинкой Карамель [Яшкино],560 кКал,"5,5 г",34 г,57 г
Молочный Шоколад с Цельным Фундуком [Яшкино],570 кКал,8 г,39 г,47 г
Молочный Шоколад с Черносливом и Кукурузными Хлопьями [Яшкино],570 кКал,6 г,37 г,53 г
Молочный Шоколад с Шоколадно-Банановой Начинкой [Яшкино],560 кКал,"3,5 г",35 г,57 г
Мука Цельнозерновая [Яшкино],312 кКал,"11,5 г","2,2 г","61,5 г"
Мягкие Вафли [Яшкино],500 кКал,7 г,31 г,45 г
Мягкие Вафли с Вареной Сгущенкой [Яшкино],430 кКал,6 г,22 г,49 г
Мягкие Вафли с Вишневым Джемом [Яшкино],390 кКал,"4,5 г",15 г,60 г
Мягкие Вафли с Кремом Вареная Сгущенка [Яшкино],400 кКал,6 г,20 г,50 г
Мягкие Вафли с Шоколадным Кремом [Яшкино],400 кКал,6 г,20 г,48 г
Мягкие Вафли со Сгущенкой [Яшкино],410 кКал,6 г,20 г,49 г
Немецкий Бретцель [Яшкино],410 кКал,"9,5 г",11 г,69 г
Овсяное Печенье Сдобное [Яшкино],460 кКал,6 г,18 г,69 г
Оладушки [Яшкино],300 кКал,5 г,9 г,50 г
Оладушки с Варёной Сгущёнкой [Яшкино],360 кКал,6 г,14 г,52 г
Оладушки с Варёной Сгущёнкой [Яшкино],350 кКал,6 г,12 г,55 г
Оладушки с Шоколадной Начинкой [Яшкино],345 кКал,6 г,12 г,53 г
Панини с Яблочным Джемом [Яшкино],425 кКал,"5,2 г","20,2 г",53 г
Печенье [Яшкино],460 кКал,"7,5 г",17 г,68 г
Печенье Forsite [Яшкино],480 кКал,7 г,23 г,63 г
Печенье Forsite Шоколадно-Сливочный Вкус [Яшкино],490 кКал,"6,5 г",24 г,61 г
Печенье Апельсин [Яшкино],294 кКал,"3,5 г","4,5 г",60 г
Печенье Вишня [Яшкино],360 кКал,3 г,"6,5 г",72 г
Печенье Воздушное Суфле [Яшкино],390 кКал,6 г,10 г,69 г
Печенье Галета [Яшкино],360 кКал,10 г,"5,5 г",67 г
Печенье Грановская Кунжутка [Яшкино],540 кКал,11 г,34 г,"49,2 г"
Печенье Дженс [Яшкино],500 кКал,7 г,24 г,63 г
Печенье Затяжное с Клубничным Кремом [Яшкино],500 кКал,6 г,24 г,65 г
Печенье Затяжное со Сливочным Кремом [Яшкино],490 кКал,6 г,23 г,64 г
Печенье Клубника [Яшкино],295 кКал,"3,5 г",4 г,61 г
Печенье Мария [Яшкино],410 кКал,8 г,"9,5 г",72 г
Печенье Овсяное [Яшкино],490 кКал,7 г,24 г,63 г
Печенье Овсяночка [Яшкино],466 кКал,6 г,"18,3 г","71,3 г"
Печенье Рок Фор [Яшкино],470 кКал,"7,5 г",19 г,66 г
Печенье с Клубничным Кремом [Яшкино],490 кКал,6 г,23 г,64 г
Печенье с Шоколадными Каплями [Яшкино],455 кКал,5 г,20 г,62 г
"Печенье Сахарное ""Райский День с Сахаром"" [Яшкино]",460 кКал,7 г,18 г,67 г
Печенье Сахарное Дивная Даренка [Яшкино],450 кКал,"6,6 г",19 г,64 г
Печенье Сахарное К Кофе со Вкусом Пломбира [Яшкино],470 кКал,7 г,20 г,66 г
Печенье Сахарное Кругляш [Яшкино],440 кКал,5 г,15 г,71 г
Печенье Сахарное Рок Фор [Яшкино],460 кКал,"7,5 г",19 г,65 г
Печенье Сахарное Сливочное [Яшкино],450 кКал,"7,5 г",17 г,66 г
Печенье Сдобное «Клубника» [Яшкино],295 кКал,"3,5 г",4 г,61 г
Печенье Сдобное [Яшкино],480 кКал,7 г,24 г,58 г
Печенье Сдобное Американское [Яшкино],480 кКал,"5,5 г",23 г,62 г
Печенье Сдобное Апельсин [Яшкино],360 кКал,3 г,"6,5 г",72 г
Печенье Сдобное Ванильное Кольцо [Яшкино],520 кКал,"6,5 г",29 г,58 г
Печенье Сдобное Вишня [Яшкино],295 кКал,"3,5 г",4 г,61 г
Печенье Сдобное Дженс [Яшкино],470 кКал,"6,5 г",24 г,57 г
Печенье Сдобное Клубника [Яшкино],360 кКал,"3,5 г","6,5 г",72 г
Печенье Сдобное с Каплями [Яшкино],480 кКал,"5,7 г",23 г,62 г
Печенье Сдобное с Цветным Драже [Яшкино],460 кКал,"5,5 г",20 г,65 г
Печенье Сдобное Шоколадное Курабье [Яшкино],520 кКал,"6,5 г",30 г,56 г
Печенье со Сливочным Вкусом [Яшкино],505 кКал,"6,9 г","24,4 г","64,7 г"
Печенье со Сливочным Кремом [Яшкино],500 кКал,6 г,24 г,65 г
Печенье-Сэндвич [Яшкино],500 кКал,7 г,24 г,65 г
Пряники [Яшкино],400 кКал,"3,5 г",13 г,68 г
Пряники в Сахарной Глазури [Яшкино],380 кКал,5 г,8 г,73 г
Пряники Классические [Яшкино],360 кКал,5 г,3 г,77 г
Пряники Мятные [Яшкино],360 кКал,5 г,3 г,77 г
Пряники с Абрикосовой Начинкой [Яшкино],390 кКал,"3,7 г","10,7 г","70,5 г"
Пряники с Вареной Сгущенкой [Яшкино],420 кКал,4 г,15 г,68 г
Пряники с Вишнёвой Начинкой [Яшкино],400 кКал,"3,6 г","12,5 г",68 г
Пряники Шоколадные [Яшкино],380 кКал,5 г,8 г,72 г
Пряники Шоколадные Воздушные [Яшкино],380 кКал,5 г,8 г,72 г
Пшеничная Мука [Яшкино],334 кКал,"10,3 г","1,1 г","70,6 г"
Рулет Абрикосовый [Яшкино],387 кКал,"6,4 г",12 г,"63,7 г"
Рулет Бисквитный [Яшкино],370 кКал,5 г,13 г,58 г
Рулет Вишневый [Яшкино],386 кКал,"6,4 г",12 г,"63,4 г"
Рулет Клубничный со Сливками [Яшкино],377 кКал,"5,8 г","11,1 г","63,6 г"
Рулет с Вареной Сгущенкой [Яшкино],350 кКал,6 г,12 г,57 г
Рулет Черничный [Яшкино],370 кКал,5 г,13 г,60 г
Рулет Шоколадный [Яшкино],390 кКал,6 г,16 г,56 г
Суфле [Яшкино],359 кКал,"3,9 г","12,1 г","61,2 г"
Суфле Воздушное [Яшкино],370 кКал,4 г,12 г,60 г
Суфле Воздушное Belucci [Яшкино],440 кКал,"1,5 г",21 г,60 г
Суфле с Клубничным Конфитюром [Яшкино],278 кКал,"2,1 г","8,8 г","50,2 г"
Суфле с Черемухой [Яшкино],430 кКал,"3,5 г",16 г,69 г
Суфле со Сгущенным Молоком [Яшкино],430 кКал,"3,5 г",16 г,69 г
Темный Шоколад [Яшкино],525 кКал,"5,5 г",35 г,47 г
Темный Шоколад с Начинкой Грейпфрут [Яшкино],420 кКал,3 г,20 г,57 г
Тёмный Шоколад с Начинкой Трюфель [Яшкино],520 кКал,"6,5 г",35 г,45 г
Темный Шоколад с Цельным Миндалем [Яшкино],540 кКал,"8,5 г",39 г,39 г
Торт с Вишневым Джемом и Шоколадным Кремом [Яшкино],420 кКал,6 г,19 г,50 г
Торт с Клубничным Джемом и Сливочным Кремом [Яшкино],400 кКал,"5,7 г",19 г,50 г
Трубочки Вафельные Лесной Орех [Яшкино],506 кКал,"7,8 г","21,4 г",69 г
Форсайт [Яшкино],490 кКал,"3,5 г",28 г,59 г
Французский Мини Крекер [Яшкино],470 кКал,8 г,22 г,60 г
Фруктовые Сердечки [Яшкино],290 кКал,"0,5 г",0 г,71 г
Фруктовый Поцелуй [Яшкино],310 кКал,2 г,0 г,76 г
Фурор [Яшкино],523 кКал,"5,3 г","26,9 г","65,6 г"
Халва Глазированная [Яшкино],528 кКал,"14,7 г",33 г,44 г
Халва Турецкая [Яшкино],490 кКал,13 г,30 г,43 г
Хрустящие Вафли с Варёной Сгущёнкой [Яшкино],530 кКал,"5,5 г",28 г,64 г
Хрустящие Вафли с Халвой [Яшкино],500 кКал,"7,5 г",26 г,59 г
Хрустящие Вафли Сливочные [Яшкино],530 кКал,5 г,29 г,63 г
Хрустящие Вафли Сливочные [Яшкино],530 кКал,5 г,29 г,63 г
Хрустящие Вафли со Вкусом Лимон-Лайм [Яшкино],540 кКал,"4,5 г",30 г,62 г
Хрустящие Вафли со Сливочным Вкусом [Яшкино],540 кКал,5 г,29 г,64 г
Чио Рио [Яшкино],515 кКал,5 г,30 г,"57,1 г"
Чипсы Картофельные с Солью [Яшкино],510 кКал,6 г,32 г,50 г
Шантарель [Яшкино],420 кКал,"1,5 г",12 г,76 г
Швейцарский Бисквитный Рулет Вишневый [Яшкино],370 кКал,5 г,13 г,57 г
Швейцарский Бисквитный Рулет Клубника со Сливками [Яшкино],370 кКал,5 г,13 г,58 г
Швейцарский Бисквитный Рулет с Вареной Сгущенкой [Яшкино],350 кКал,5 г,11 г,57 г
Шоколад Горький 75% [Яшкино],560 кКал,"7,5 г",46 г,27 г
Шоколад Молочный с Фундуком и Изюмом [Яшкино],540 кКал,"6,5 г",35 г,50 г
Шоколадный Батончик [Яшкино],447 кКал,"2,6 г","16,5 г",73 г
Шоколадный Батончик Импульс [Яшкино],485 кКал,"7,2 г","24,3 г","59,2 г"
Шоколадный Батончик с Грушевой Начинкой [Яшкино],420 кКал,3 г,17 г,64 г
Щербет с Изюмом и Арахисом [Яшкино],400 кКал,"5,5 г",8 г,77 г
Ярче Семечки в Мягкой Карамели [Яшкино],497 кКал,"9,6 г","30,5 г","51,2 г"
Яшкинская Картошка [Яшкино],537 кКал,"6,3 г","31,7 г","56,7 г"
