Продукт,Калорийность,Белки,Жиры,Углеводы
"Мороженое в вафельном рожке с арахисом и шоколадным соусом, 9,3% жирности",265 кКал,"5,33 г","9,33 г","30,71 г"
"Мороженое в шоколадной глазури с орехами, 25,8% жирности",303 кКал,"5,62 г","25,84 г","10,79 г"
"Мороженое лёгкое 3% жирности, с сорбетом",165 кКал,"1,54 г","3,08 г","32,75 г"
Мороженое молочное,132 кКал,"3,7 г","3,5 г","21,3 г"
Мороженое молочное клубничное,123 кКал,"3,8 г","2,8 г","21,6 г"
Мороженое молочное крем-брюле,138 кКал,"3,7 г","3,5 г","22,9 г"
Мороженое молочное ореховое,157 кКал,"5,4 г","6,5 г","20,1 г"
Мороженое молочное с плодами и ягодами,124 кКал,"3,2 г","2,8 г","21,2 г"
Мороженое молочное с шоколадной глазурью,231 кКал,"3,2 г",15 г,"20,6 г"
Мороженое молочное шоколадное,133 кКал,"3,6 г","3,7 г","21,2 г"
"Мороженое мягкое,  шоколадное 13% жирности,",222 кКал,"4,1 г",13 г,"21,5 г"
"Мороженое мягкое, шоколадное, лёгкое 3,7% жирности",141 кКал,"3,36 г","3,69 г","23,15 г"
"Мороженое на палочке с хрустящей глазурью, 25% жирности",358 кКал,"2,11 г","25,26 г","36,02 г"
"Мороженое на палочке с шоколадной глазурью, 24% жирности",331 кКал,"4,1 г","24,1 г","23,7 г"
Мороженое обезжиренное без сахара,133 кКал,"4,41 г",0 г,"21,46 г"
Мороженое пломбир,232 кКал,"3,7 г",15 г,"20,4 г"
Мороженое пломбир в вафельном рожке,254 кКал,3 г,14 г,"27,89 г"
Мороженое пломбир в шоколадной глазури,310 кКал,"3,2 г",24 г,"20,1 г"
Мороженое пломбир клубничный,206 кКал,"3,2 г",12 г,"21,1 г"
Мороженое пломбир крем-брюле,240 кКал,"3,7 г",15 г,"22,4 г"
Мороженое пломбир ореховый,259 кКал,"5,2 г",18 г,"19,9 г"
"Мороженое пломбир, шоколадный",231 кКал,"3,6 г",15 г,"20,4 г"
Мороженое сливочное,183 кКал,"3,7 г",10 г,"19,4 г"
Мороженое сливочное клубничное,165 кКал,"3,8 г",8 г,"20,3 г"
Мороженое сливочное крем-брюле,191 кКал,"3,7 г",10 г,"21,4 г"
Мороженое сливочное ореховое,210 кКал,"5,5 г",13 г,"17,6 г"
Мороженое сливочное с плодами и ягодами,166 кКал,"3,2 г",8 г,"20,1 г"
Мороженое сливочное с шоколадной глазурью,271 кКал,"3,2 г",20 г,"19,4 г"
Мороженое сливочное шоколадное,185 кКал,"3,6 г",10 г,20 г
Мороженое сэндвич,237 кКал,"4,29 г","8,57 г","37,14 г"
Мороженое сэндвич с печеньем,240 кКал,"3,7 г","7,4 г","38,4 г"
"Мороженое сэндвич, лёгкое ванильное 3% жирности",186 кКал,"4,29 г","3,04 г","39,64 г"
"Мороженое сэндвич, лёгкое ванильное 3% жирности без сахара",200 кКал,"5,71 г","2,86 г","35,76 г"
"Напиток кисломолочный  2,5% жирности «Юбилейный»",53 кКал,"2,9 г","2,5 г","4,1 г"
"Напиток кисломолочный  2,5% жирности «Юбилейный», плодово-ягодный",84 кКал,"2,6 г","2,5 г","12,2 г"
"Напиток кисломолочный  2,5% жирности, «Бифидин»",61 кКал,"3,4 г","2,5 г","5,5 г"
"Напиток кисломолочный «Снежок» 2,5% жирности",79 кКал,"2,7 г","2,5 г","10,8 г"
"Напиток кисломолочный «Тонус» 2,5% жирности",53 кКал,"2,9 г","2,5 г","4,1 г"
"Напиток кисломолочный 1% жирности, плодово-ягодный",71 кКал,"2,7 г",1 г,"12,2 г"
"Напиток кисломолочный 3,2% жирности, ""Южный""",58 кКал,"2,8 г","3,2 г","3,9 г"
"Оттопки масла, сухие",876 кКал,"0,28 г","99,48 г",0 г
"Паста ацидофильная 4,0% жирности",143 кКал,"5,5 г",4 г,"20,5 г"
"Паста ацидофильная, сладкая 8,0% жирности",203 кКал,"6,6 г",8 г,"25,5 г"
"Паста молочная, ацидофильная сладкая нежирная",81 кКал,"5,5 г","0,2 г","13,5 г"
Пахта 1% жирности,40 кКал,"3,31 г","1,07 г","4,79 г"
"Пахта 1% жирности, пастеризованная",41 кКал,"3,3 г",1 г,"4,7 г"
"Пахта 1% жирности, сквашенная",40 кКал,"3,3 г",1 г,"3,8 г"
Пахта 2% жирности,56 кКал,"4,1 г",2 г,"5,3 г"
"Пахта 3,3% жирности",62 кКал,"3,21 г","3,31 г","4,88 г"
Пахта сухая,387 кКал,"34,3 г","5,78 г",49 г
"Пищевая добавка для больных диабетом,  жидкая",88 кКал,"4,4 г","3,08 г","9,68 г"
Простокваша 1%,40 кКал,3 г,1 г,"4,1 г"
"Простокваша 2,5% жирности",53 кКал,"2,9 г","2,5 г","4,1 г"
"Простокваша 2,5% жирности, «Цитрусовая»",76 кКал,"2,6 г","2,5 г","10,1 г"
"Простокваша 3,2% жирности",59 кКал,"2,9 г","3,2 г","4,1 г"
"Простокваша 4,0% жирности «Мечниковская»",66 кКал,"2,8 г",4 г,"4,1 г"
Простокваша обезжиренная,30 кКал,3 г,"0,05 г","3,8 г"
Простокваша цитрусовая 1%,63 кКал,"2,7 г",1 г,"10,1 г"
"Пудинг из творога 9%-ного, по 1-334",224 кКал,"13,9 г","9,6 г","20,1 г"
"Ряженка 2,5% жирности",54 кКал,"2,9 г","2,5 г","4,2 г"
"Ряженка 4,0% жирности",67 кКал,"2,8 г",4 г,"4,2 г"
"Ряженка 6,0% жирности",85 кКал,3 г,6 г,"4,1 г"
"Ряженка, 1%",40 кКал,3 г,1 г,"4,2 г"
"Сливки 1,4% жирности, с молоком",59 кКал,"2,6 г","1,4 г",9 г
"Сливки 10% жирности, пастеризованные",119 кКал,"2,7 г",10 г,"4,5 г"
Сливки 10% жирности. стерилизованные,119 кКал,"2,7 г",10 г,"4,4 г"
"Сливки 11,5% жирности, с молоком",131 кКал,"3,13 г","11,5 г","4,3 г"
Сливки 19% жирности,195 кКал,"2,96 г","19,1 г","3,66 г"
"Сливки 20% жирности, пастеризованные",207 кКал,"2,5 г",20 г,4 г
"Сливки 25% жирности, стерилизованные",251 кКал,"2,4 г",25 г,"3,9 г"
Сливки 31% жирности,292 кКал,"2,17 г","30,91 г","2,96 г"
"Сливки 35% жирности, пастеризованные",337 кКал,"2,2 г",35 г,"3,2 г"
Сливки 36% жирности,340 кКал,"2,84 г","36,08 г","2,84 г"
"Сливки 5% жирности, с молоком",72 кКал,"3,33 г",5 г,"3,33 г"
"Сливки 8% жирности, пастеризованные",102 кКал,"2,8 г",8 г,"4,5 г"
"Сливки взбитые 13% жирности, замороженные",224 кКал,3 г,"13,1 г","23,6 г"
Сливки взбитые 22% жирности в аэрозольном балончике,257 кКал,"3,2 г","22,22 г","12,49 г"
"Сливки взбитые 27% жирности,  плодово-ягодные",344 кКал,"2,8 г",27 г,"23,6 г"
"Сливки взбитые 27% жирности, шоколадные",337 кКал,"2,8 г",27 г,"21,6 г"
"Сливки взбитые 28% жирности, ванильные",346 кКал,"2,8 г",28 г,"21,6 г"
Сливки взбитые обезжиренные 5% жирности Reddi Wip,149 кКал,3 г,5 г,"24,6 г"
