Продукт,Калорийность,Белки,Жиры,Углеводы
Корзиночки (тарталетки) для закусок,342 кКал,"9,4 г","15,9 г",43 г
"Корзиночки с крабами, креветками, кальмарами или морским гребешком","360,4 кКал","11,5 г","25,6 г","22,4 г"
Корзиночки с паштетом,"318,6 кКал","11,8 г","20,8 г","22,3 г"
Корзиночки с салатом,"327,9 кКал","10,8 г","21,9 г","23,2 г"
Корзиночки с языком или ветчиной,"311,6 кКал","11,3 г","19,3 г","24,8 г"
Лазанки из картофеля,"60,7 кКал","3,4 г","3,6 г","3,9 г"
"Лососина, семга, кета малосоленые","218,6 кКал",33 г,"9,1 г","1,4 г"
Масса  из ветчины,"327,3 кКал","17,4 г","28,5 г","0,3 г"
Масса из брынзы,"273,1 кКал","13,2 г",24 г,1 г
Масса из сыра для бутербродов,"451,7 кКал","18,1 г","41,1 г","2,6 г"
Острая закуска,"32,6 кКал","1,7 г","0,1 г","6,5 г"
Пикантная закуска из брынзы,0 кКал,0 г,0 г,0 г
Птичьи гнезда из сельди иваси,0 кКал,0 г,0 г,0 г
Расстегаи закусочные,"266,4 кКал","13,3 г","9,6 г","33,8 г"
Соленые фаршированные огурцы,"65,3 кКал","3,6 г",3 г,"6,4 г"
Студень говяжий,"209,3 кКал","26,6 г","9,9 г","3,7 г"
Студень из субпродуктов птицы,"347,4 кКал","30,2 г","24,4 г","1,9 г"
Студень свиной,"354,6 кКал","25,1 г","27,1 г","2,7 г"
Творог с орехами и чесноком,"358,2 кКал","16,4 г","20,5 г","28,9 г"
Творожные шарики,"316,3 кКал","13,6 г","26,4 г","6,5 г"
Творожный бутерброд,"242,7 кКал","9,5 г","11,2 г","27,6 г"
"Фарш из пасты ""Океан""","177,5 кКал","14,8 г","10,9 г","5,3 г"
Холодец по домашнему,"257,8 кКал","26,1 г","15,5 г","3,6 г"
Яйца фаршированные креветками,"247,4 кКал","10,3 г","22,2 г","1,6 г"
