Продукт,Калорийность,Белки,Жиры,Углеводы
Оладьи с изюмом,"334,9 кКал","8,4 г",15 г,"44,4 г"
Оладьи с яблоками,"113,8 кКал","4,3 г","2,6 г","19,5 г"
Оладьи с яблоками,"306,2 кКал","9,2 г","13,3 г","39,8 г"
Омлет с  яблоками,"121,4 кКал","3,5 г","4,9 г","16,8 г"
Омлет с яблоками,"177,7 кКал","8,6 г","14,1 г","4,4 г"
Омлет с яблоками,86 кКал,"3,5 г","5,1 г","6,9 г"
Ореховый крем,"105,9 кКал","5,4 г","4,3 г","12,2 г"
Орешки творожные по-русски,"271,2 кКал","8,9 г",17 г,"22,1 г"
Пастила из ежевики,174 кКал,"0,8 г","0,3 г","44,8 г"
Пастила из калины,"197,5 кКал",0 г,0 г,"52,7 г"
"Пирожное ""Кокетка""","418,1 кКал","18,7 г","29,4 г",21 г
Плавающие острова,"94,9 кКал","3,8 г","3,1 г","13,8 г"
Пудинг из ревеня,187 кКал,"4,5 г","6,3 г","29,9 г"
Пудинг из риса и ревеня,155 кКал,"3,6 г","7,9 г","18,6 г"
Пудинг из сыра,"184,2 кКал",9 г,"13,2 г","7,9 г"
"Пудинг из творога, запеченный","312,5 кКал",11 г,"19,7 г","24,3 г"
Пудинг на сметане,"254,3 кКал","5,8 г","15,3 г","24,9 г"
Пудинг ореховый,"229,4 кКал","7,1 г","7,7 г","35,1 г"
"Пудинг рисовый, манный, пшенный","189,6 кКал","3,4 г","5,1 г","34,7 г"
Пудинг с грушами,"131,2 кКал","3,6 г","3,5 г","22,7 г"
Пудинг сливочный с орехами,"307,1 кКал","7,6 г",20 г,"25,6 г"
Пудинг сухарный,"213,3 кКал","6,4 г","5,1 г","37,8 г"
Ревень с сахаром,"99,6 кКал","0,5 г","0,08 г","25,8 г"
Ревень с сухарями и сливками,"100,4 кКал","1,4 г","6,5 г","9,8 г"
Самбук абрикосовый,"115,1 кКал",2 г,"0,07 г","28,4 г"
Самбук из абрикосов,"86,5 кКал","1,7 г","0,06 г","21,1 г"
Самбук яблочный или сливовый,"90,3 кКал","1,8 г","0,2 г","21,6 г"
Сгущенка по-русски,"120,4 кКал","2,3 г","2,5 г","23,7 г"
Сельдерей на десерт,0 кКал,0 г,0 г,0 г
Сладкий молочный соус,"84,1 кКал","3,4 г","2,8 г","12,1 г"
Сладкое блюдо из риса и творога,"236,4 кКал","11,1 г","5,7 г","37,6 г"
Сливки или сметана взбитые,"231,3 кКал","2,4 г","17,3 г","17,5 г"
Сливовый соус,"42,4 кКал","0,09 г","0,03 г","11,1 г"
Смородина с медом и миндалем,"191,4 кКал","2,6 г","7,2 г",31 г
"Смородиновый ""снег""","111,5 кКал","1,3 г","0,1 г","28,1 г"
Снежки,"138,2 кКал",4 г,"3,7 г","23,7 г"
Соус абрикосовый,"250,9 кКал","0,5 г","0,06 г","66,2 г"
"Соус земляничный или малиновый, или вишневый","244,5 кКал","0,5 г","0,2 г","64,1 г"
Соус из брусники и сыра,"208,5 кКал","9,1 г","16,3 г","6,8 г"
Соус из изюма и миндаля,"144,2 кКал","4,4 г","6,8 г","17,4 г"
Соус из какао,"95,9 кКал","3,9 г","3,5 г",13 г
Соус из крыжовника,35 кКал,"0,4 г","0,2 г","8,5 г"
Соус из яблок и брусники,"174,9 кКал","0,3 г","0,3 г","45,7 г"
Соус клюквенный,"67,3 кКал","0,08 г","0,03 г","17,8 г"
Соус сметанный,382 кКал,"3,3 г","35,3 г","13,7 г"
Соус яблочный,"61,1 кКал","0,1 г","0,09 г",16 г
Суфле,"203,2 кКал","5,4 г","12,2 г","19,1 г"
"Суфле ванильное, шоколадное, ореховое","212,1 кКал","5,6 г","13,5 г","18,2 г"
Сырники с морковью,248 кКал,"9,6 г","14,1 г","22,1 г"
Творог апельсиновый,"196,8 кКал","6,1 г","11,7 г","17,8 г"
Творожный соус,"118,8 кКал","8,4 г","7,7 г","4,2 г"
"Торт ""Вишня в сотах""","234,2 кКал","3,5 г",15 г,"22,7 г"
"Торт ""Катерина""","381,2 кКал","4,7 г","22,9 г","41,6 г"
"Торт ""Медовый""","322,7 кКал","3,7 г","16,6 г","42,4 г"
"Торт ""Мужской идеал""","307,8 кКал","6,7 г","8,7 г","54,1 г"
"Торт ""Негр""","268,7 кКал","4,4 г","15,4 г","29,9 г"
"Торт ""Почти ""Прага""","350,9 кКал","4,2 г","20,5 г","39,9 г"
"Торт ""Прага""","283,5 кКал","5,9 г","12,6 г",39 г
"Торт ""Снежная горка""","150,1 кКал",1 г,"11,4 г","11,6 г"
"Торт ""Шоколадная мазурка""","301,4 кКал","7,6 г","7,6 г",54 г
Торт бисквитный с орехами,"355,3 кКал","11,4 г",15 г,"46,5 г"
Торт Зебра»,"270,8 кКал","8,5 г","12,9 г",32 г
Торт из картофеля с творогом,169 кКал,"9,1 г","3,9 г","25,9 г"
Торт из тыквы,"212,5 кКал","2,6 г","14,5 г",19 г
Торт картофельный,"190,5 кКал","5,6 г","5,7 г","31,2 г"
Торт печёночный,200 кКал,"8,1 г","14,5 г",10 г
Торт Прага»,"326,4 кКал","6,5 г","17,3 г","38,7 г"
Торт Черный принц»,"14,8 кКал","0,2 г","1,1 г","1,2 г"
Тыква с орехами,"111,4 кКал","3,6 г","0,07 г","25,8 г"
Тыква с ревенем,"51,7 кКал","0,8 г","0,09 г","12,8 г"
Тыква с фруктами,"81,1 кКал","1,7 г","2,4 г","14,1 г"
"Тыква, запеченная с фруктами, по-ижевски (удмуртское национальное блюдо)","106,8 кКал","1,5 г","3,7 г","17,9 г"
Тыквенный крем,"144,8 кКал",4 г,"11,2 г","7,4 г"
Фаршированные яблоки,"58,1 кКал","3,3 г","1,9 г","7,5 г"
Фруктовый маседуан,"205,3 кКал","0,4 г","0,1 г",54 г
Холодное из абрикосов,127 кКал,"1,8 г","10,8 г",6 г
Чернослив со сливками или сметаной взбитыми,"271,8 кКал","2,5 г","12,6 г","39,6 г"
Шоколадное мороженое,"268,7 кКал","4,4 г","15,8 г","29,1 г"
Шоколадный крем,"272,4 кКал","3,8 г","12,7 г","38,1 г"
Шоколадный пудинг,"192,4 кКал","4,5 г","9,3 г","24,2 г"
Шоколадный соус,"139,9 кКал","2,8 г","7,7 г",16 г
Шульо мелна (блины овсяные - марийское национальное блюдо),"195,4 кКал","5,5 г","10,5 г",21 г
Яблоки в грильяже,"146,1 кКал","0,3 г","2,8 г","31,9 г"
Яблоки в желе,"111,1 кКал",3 г,"3,4 г","18,3 г"
Яблоки печеные,"65,8 кКал","0,6 г","1,4 г","13,6 г"
Яблоки печеные,"169,1 кКал","0,5 г","0,4 г","43,6 г"
Яблоки печеные с брусникой,"105,8 кКал","0,3 г","0,3 г","27,2 г"
Яблоки со взбитыми сливками,"113,9 кКал","1,9 г",5 г,"16,4 г"
"Яблоки, фаршированные морковью","78,4 кКал","0,8 г","2,8 г","13,4 г"
Яблочно-сливочный соус,"97,1 кКал","1,2 г","6,1 г","10,1 г"
Яблочный крем,"112,8 кКал","0,6 г","4,7 г","18,2 г"
Ягодный мусс,167 кКал,"1,2 г","0,8 г","41,2 г"
Яичный мусс,"142,3 кКал","5,9 г","3,5 г","23,4 г"
