Продукт,Калорийность,Белки,Жиры,Углеводы
"Ветчина приготовленная с добавлением воды (не более 10%), рулька",167 кКал,"16,65 г","11,02 г","0,66 г"
"Ветчина приготовленная с добавлением воды (не более 10%), рулька на кости, постное мясо",91 кКал,"18,65 г","1,87 г","0,71 г"
"Ветчина приготовленная с добавлением воды (не более 10%), рулька, запечённая",200 кКал,"18,62 г","13,37 г","1,35 г"
"Ветчина приготовленная с добавлением воды (не более 10%), рулька, постное мясо, обжаренная",128 кКал,"20,92 г","4,43 г","1,2 г"
Ветчина рубленая,315 кКал,"12,78 г","28,19 г","1,69 г"
"Ветчина слабосолёная, обезжиренная (около 5% жира), обжаренная",145 кКал,"20,9 г","5,5 г","1,5 г"
"Ветчина слабосолёная, постное мясо, обжаренная",165 кКал,22 г,"7,7 г","0,5 г"
"Ветчина слабосолёная, приготовленная",172 кКал,"22,3 г","8,3 г","0,3 г"
"Ветчина, верхняя часть окорока на кости",176 кКал,"22,27 г","9,38 г","0,52 г"
"Ветчина, верхняя часть окорока на кости, обжаренная",177 кКал,"23,95 г","8,88 г","0,64 г"
"Ветчина, верхняя часть окорока на кости, постное мясо",125 кКал,"24,46 г","2,92 г","0,32 г"
"Ветчина, верхняя часть окорока на кости, постное мясо, обжаренная",132 кКал,"26,02 г","3,07 г","0,68 г"
"Ветчина, жареная",165 кКал,"21,97 г","7,66 г","0,5 г"
"Ветчина, нарезка на кости",173 кКал,"22,45 г","9,17 г","0,21 г"
"Ветчина, нарезка на кости, жареная на сковороде",181 кКал,"25,48 г","8,48 г","0,7 г"
"Ветчина, нарезка на кости, постное мясо",130 кКал,"24,36 г","3,59 г",0 г
"Ветчина, около 11% жира, запечённая",178 кКал,"22,62 г","9,02 г",0 г
"Ветчина, около 13% жира, консервированная, запечённая",226 кКал,"20,53 г","15,2 г","0,42 г"
"Ветчина, окорок в целом",246 кКал,"18,49 г","18,52 г","0,06 г"
"Ветчина, окорок в целом, постное мясо",147 кКал,"22,32 г","5,71 г","0,05 г"
"Ветчина, окорок в целом, постное мясо, запечённая",157 кКал,"25,05 г","5,5 г",0 г
"Ветчина, рулька",177 кКал,"21,61 г","9,85 г","0,41 г"
"Ветчина, рулька, запечённая",191 кКал,"24,39 г","9,35 г","0,64 г"
"Ветчина, рулька, постное мясо",125 кКал,"23,79 г","3,19 г","0,18 г"
"Ветчина, рулька, постное мясо, запечённая",139 кКал,"26,49 г","3,68 г","0,68 г"
"Ветчина, средняя часть",203 кКал,"20,17 г","12,9 г","0,05 г"
"Ветчина, средняя часть, по-деревенски, постное мясо",195 кКал,"27,8 г","8,32 г","0,3 г"
"Гуляш свиной, консервы",333 кКал,"13,1 г","29,4 г","3,9 г"
Желудок свиной,159 кКал,"16,85 г","10,14 г",0 г
"Желудок свиной,  вареный на медленном огне",157 кКал,"21,4 г","7,26 г","0,09 г"
"Завтрак туриста (свинина), консервы",347 кКал,"16,9 г",31 г,"0,2 г"
Кишки свиные,182 кКал,"7,64 г","16,61 г",0 г
"Кишки свиные, варёные на медленном огне",233 кКал,"12,49 г","20,32 г",0 г
"Колбасный фарш ветчиннорубленный, консервы",234 кКал,"13,2 г","18,9 г","2,8 г"
"Колбасный фарш любительский, консервы",313 кКал,11 г,"28,5 г",3 г
"Колбасный фарш отдельный, консервы",279 кКал,"13,6 г","23,7 г","2,9 г"
"Котлеты из свинины рубленые, по 1-440",466 кКал,"13,6 г","45,7 г",0 г
"Котлеты отбивные из свинины, по 1-414",470 кКал,"17,5 г","40,3 г","8,8 г"
"Кровь свиная, сухая",335 кКал,"83,7 г",0 г,0 г
Лёгкое свиное,85 кКал,"14,08 г","2,72 г",0 г
Легкое свиное,92 кКал,"14,8 г","3,6 г",0 г
"Лёгкое свиное, тушеное",99 кКал,"16,6 г","3,1 г",0 г
Мозги свиные,127 кКал,"10,28 г","9,21 г",0 г
Мозги свиные,119 кКал,"10,5 г","8,6 г","0,8 г"
"Мозги свиные, тушеные",138 кКал,"12,14 г","9,51 г",0 г
"Мясо в белом соусе, консервы",202 кКал,18 г,"12,8 г","3,8 г"
Ноги (копытца) свиные,212 кКал,"23,16 г","12,59 г",0 г
"Ноги (копытца) свиные, варёные на медленном огне",238 кКал,"21,94 г","16,05 г",0 г
Ноги свиные,234 кКал,"23,5 г","15,6 г",0 г
"Пельмени жареные, по 2-170",303 кКал,11 г,"22,5 г","14,1 г"
"Пельмени отварные, по 2-170",219 кКал,"9,9 г","13,9 г","13,5 г"
Печень свиная,109 кКал,"18,8 г","3,8 г","4,7 г"
Печень свиная,134 кКал,"21,39 г","3,65 г","2,47 г"
"Печень свиная, тушеная",165 кКал,"26,02 г","4,4 г","3,76 г"
"Пирожки печеные с мясным фаршем и луком, по 2-188",245 кКал,"12,2 г","5,7 г","35,5 г"
"Поджарка из свинины, по 1-406",524 кКал,"15,7 г","49,3 г","4,2 г"
Поджелудочная железа свиная,199 кКал,"18,56 г","13,24 г",0 г
"Поджелудочная железа свиная, тушеная",219 кКал,"28,5 г","10,8 г",0 г
"Поросенок жареный, по 1-400",147 кКал,"26,4 г","4,5 г","0,2 г"
Поросятина,109 кКал,"20,6 г",3 г,0 г
Почки свиные,100 кКал,"16,46 г","3,25 г",0 г
Почки свиные,92 кКал,15 г,"3,6 г","2,7 г"
"Почки свиные, тушеная",151 кКал,"25,4 г","4,7 г",0 г
"Расстегаи с мясом и луком, по 2-194",254 кКал,"12,1 г","6,4 г","36,4 г"
Сало свиное с живота сырое,857 кКал,"1,76 г","94,16 г",0 г
"Свинина ""по-восточному"", сушеная (дегидрированная)",615 кКал,"11,8 г","62,4 г","1,4 г"
Свинина беконная,318 кКал,17 г,"27,8 г",0 г
"Свинина жареная, по 1-396",314 кКал,"19,6 г","26,2 г",0 г
Свинина жирная,491 кКал,"11,7 г","49,3 г",0 г
"Свинина жирная, консервы",486 кКал,"11,5 г","48,9 г",0 г
"Свинина засоленная, лопатка",269 кКал,"16,47 г","21,98 г",0 г
"Свинина засоленная, лопатка, запечённая",287 кКал,"17,28 г","23,48 г","0,37 г"
Свинина мясная,357 кКал,"14,3 г","33,3 г",0 г
"Свинина отварная, по 1-390",373 кКал,"22,5 г","31,5 г",0 г
"Свинина соленая, нарезка для завтрака",388 кКал,"11,74 г","37,16 г","0,7 г"
"Свинина тушеная, консервы",349 кКал,"14,9 г","32,2 г","0,2 г"
"Свинина тушеная, по 1-422",235 кКал,9 г,"20,4 г","3,5 г"
"Свинина, верхняя часть окорока",182 кКал,"20,27 г","10,63 г",0 г
"Свинина, верхняя часть окорока, запечённая",209 кКал,"27,03 г","10,32 г",0 г
"Свинина, верхняя часть окорока, постное мясо",120 кКал,"21,81 г","2,93 г",0 г
"Свинина, верхняя часть окорока, постное мясо, запечённая",165 кКал,"28,86 г","4,62 г",0 г
"Свинина, верхняя часть филе (карбонат, или котлета свиная)",155 кКал,"21,55 г","6,94 г",0 г
"Свинина, верхняя часть филе (карбонат, или котлета свиная), жареная на огне",196 кКал,"26,62 г","9,14 г",0 г
"Свинина, верхняя часть филе (карбонат, или котлета свиная), жареная на сковороде",196 кКал,"29,36 г","7,86 г",0 г
"Свинина, верхняя часть филе (карбонат, или котлета свиная), постное мясо",127 кКал,"22,41 г","3,42 г",0 г
"Свинина, верхняя часть филе (карбонат, или котлета свиная), постное мясо, тушеная",170 кКал,"30,54 г","4,34 г",0 г
"Свинина, верхняя часть филе (карбонат, или котлета свиная), только мясо, жареная на огне",173 кКал,"27,58 г","6,08 г",0 г
"Свинина, верхняя часть филе (карбонат, или котлета свиная), только мясо, жареная на сковороде",172 кКал,"30,46 г","4,62 г",0 г
"Свинина, верхняя часть филе (карбонат, или котлета свиная), тушеная",200 кКал,"29,2 г","8,31 г",0 г
"Свинина, верхняя часть филе (карбонат)",166 кКал,"21,34 г","8,33 г",0 г
"Свинина, верхняя часть филе (карбонат), запечённая",192 кКал,"26,45 г","8,82 г",0 г
"Свинина, верхняя часть филе (карбонат), постное мясо",132 кКал,"22,39 г","4,06 г",0 г
"Свинина, верхняя часть филе (карбонат), постное мясо, запечённая",173 кКал,"27,23 г","6,28 г",0 г
"Свинина, верхняя часть филе (карбонат), с добавлением раствора",171 кКал,"19,45 г","10,26 г",0 г
"Свинина, верхняя часть филе (карбонат), с добавлением раствора, жареная на огне",198 кКал,"28,33 г","9,42 г","0,02 г"
"Свинина, верхняя часть филе (карбонат), с добавлением раствора, постное мясо",117 кКал,"21,09 г","3,48 г","0,22 г"
"Свинина, верхняя часть филе (карбонат), с добавлением раствора, постное мясо, жареная на огне",170 кКал,"29,65 г","5,73 г",0 г
"Свинина, ветчина из плечевой части,  постное мясо, запечённая",170 кКал,"24,94 г","7,04 г",0 г
"Свинина, ветчина из плечевой части, запечённая",280 кКал,"20,43 г","21,35 г",0 г
"Свинина, вырезка",120 кКал,"20,65 г","3,53 г",0 г
"Свинина, вырезка",142 кКал,"19,4 г","7,1 г",0 г
"Свинина, вырезка, жареная на огне",201 кКал,"29,86 г","8,11 г",0 г
"Свинина, вырезка, запечённая",147 кКал,"26,04 г","3,96 г",0 г
"Свинина, вырезка, постное мясо",109 кКал,"20,95 г","2,17 г",0 г
"Свинина, вырезка, постное мясо, жареная на огне",187 кКал,"30,42 г","6,33 г",0 г
"Свинина, вырезка, постное мясо, запечённая",143 кКал,"26,17 г","3,51 г",0 г
"Свинина, грудинка мякоть",602 кКал,8 г,"63,3 г",0 г
"Свинина, грудно-плечевая чать, без костей, мясо с жиром, жареная на огне",162 кКал,"28,47 г","4,49 г",0 г
"Свинина, грудно-плечевая чать, без костей, мясо с жиром, сырая",127 кКал,"22,54 г","3,4 г",0 г
"Свинина, гуляш (из корейки и лопатки), постное мясо",144 кКал,"21,23 г","5,88 г",0 г
"Свинина, гуляш (из корейки и лопатки), постное мясо, приготовленное",211 кКал,"29,47 г","9,44 г",0 г
"Свинина, гуляш (из корейки и лопатки), приготовленный",235 кКал,"26,07 г","13,66 г",0 г
"Свинина, жир отделённый от ветчины",579 кКал,"5,68 г","61,41 г","0,09 г"
"Свинина, жир отделённый от ветчины запечённый",591 кКал,"7,64 г","61,86 г",0 г
"Свинина, задняя рулька",193 кКал,"19,87 г","11,96 г",0 г
"Свинина, задняя рулька, запечённая",232 кКал,"25,96 г","13,42 г",0 г
"Свинина, задняя рулька, постное мясо",119 кКал,"21,66 г","2,95 г",0 г
"Свинина, задняя рулька, постное мясо, запечённая",175 кКал,"28,69 г","5,83 г",0 г
"Свинина, корейка в целом",198 кКал,"19,74 г","12,58 г",0 г
"Свинина, корейка в целом, жареная на огне",242 кКал,"27,32 г","13,92 г",0 г
"Свинина, корейка в целом, запечённая",248 кКал,"27,09 г","14,65 г",0 г
"Свинина, корейка в целом, постное мясо",143 кКал,"21,43 г","5,66 г",0 г
"Свинина, корейка в целом, постное мясо, жареная",204 кКал,"28,57 г","9,12 г",0 г
"Свинина, корейка в целом, постное мясо, жареная на огне",210 кКал,"28,57 г","9,8 г",0 г
"Свинина, корейка в целом, постное мясо, запечённая",209 кКал,"28,62 г","9,63 г",0 г
"Свинина, корейка в целом, тушеная",239 кКал,"27,23 г","13,62 г",0 г
"Свинина, корейка мякоть",384 кКал,"13,7 г","36,5 г",0 г
"Свинина, кострец",133 кКал,"22,49 г","4,05 г",0 г
"Свинина, кострец на кости",168 кКал,"20,48 г","8,96 г",0 г
"Свинина, кострец на кости, жареный на огне",222 кКал,"26,96 г","11,82 г",0 г
"Свинина, кострец на кости, запечённый",230 кКал,"26,64 г","12,87 г",0 г
"Свинина, кострец на кости, постное мясо, жареная на огне",174 кКал,"29,29 г","5,45 г",0 г
"Свинина, кострец на кости, постное мясо, запечённый",204 кКал,"27,78 г","9,44 г",0 г
"Свинина, кострец на кости, постное мясо, тушеный",195 кКал,31 г,"6,9 г",0 г
"Свинина, кострец на кости, тушеный",234 кКал,"28,81 г","12,31 г",0 г
"Свинина, кострец на кости,, постное мясо",129 кКал,"21,65 г","4,02 г",0 г
"Свинина, кострец, жареный на огне",170 кКал,"28,19 г","5,53 г",0 г
"Свинина, кострец, запечённый",192 кКал,"29,62 г","7,32 г",0 г
"Свинина, кострец, постное мясо, жареный на огне",161 кКал,"28,6 г","4,36 г",0 г
"Свинина, кострец, постное мясо, запечённый",178 кКал,"30,39 г","5,31 г",0 г
"Свинина, кострец, постное мясо, сырая",121 кКал,"22,81 г","2,59 г",0 г
"Свинина, кострец, постное мясо, тушеный",163 кКал,"28,75 г","4,5 г",0 г
"Свинина, кострец, тушеный",171 кКал,"28,41 г","5,47 г",0 г
"Свинина, котлетное мясо",421 кКал,"11,4 г","41,7 г",0 г
"Свинина, лопатка бескостная",186 кКал,"17,42 г","12,36 г",0 г
"Свинина, лопатка бескостная, жареная на огне",259 кКал,"25,58 г","16,61 г",0 г
"Свинина, лопатка бескостная, запечённая",269 кКал,"23,11 г","18,86 г",0 г
"Свинина, лопатка бескостная, постное мясо",132 кКал,"18,73 г","5,71 г",0 г
"Свинина, лопатка бескостная, постное мясо, жареная на огне",227 кКал,"26,74 г","12,54 г",0 г
"Свинина, лопатка бескостная, постное мясо, запечённая",232 кКал,"24,21 г","14,3 г",0 г
"Свинина, лопатка бескостная, постное мясо, тушеная",233 кКал,"26,57 г","13,2 г",0 г
"Свинина, лопатка бескостная, тушеная",267 кКал,"25,07 г","17,69 г",0 г
"Свинина, лопаточная часть",325 кКал,"14,7 г","29,4 г",0 г
"Свинина, лопаточная часть",236 кКал,"17,18 г","17,99 г",0 г
"Свинина, лопаточная часть корейки без кости",157 кКал,"20,54 г","7,94 г","0,76 г"
"Свинина, лопаточная часть корейки без кости, жареная на огне",202 кКал,"24,73 г","11,13 г","0,83 г"
"Свинина, лопаточная часть корейки без кости, запечённая",199 кКал,"26,48 г","10,32 г",0 г
"Свинина, лопаточная часть корейки без кости, постное мясо",123 кКал,"21,35 г","3,78 г","0,82 г"
"Свинина, лопаточная часть корейки без кости, постное мясо, жареное на огне",169 кКал,"26,14 г","6,74 г","0,89 г"
"Свинина, лопаточная часть корейки без кости, постное мясо, запеченное",175 кКал,"27,58 г","7,14 г",0 г
"Свинина, лопаточная часть корейки на кости",194 кКал,"19,56 г","12,27 г",0 г
"Свинина, лопаточная часть корейки на кости,  постное мясо",143 кКал,"21,22 г","5,84 г",0 г
"Свинина, лопаточная часть корейки на кости, жареная на огне",231 кКал,"23,72 г","14,35 г",0 г
"Свинина, лопаточная часть корейки на кости, запеченная",254 кКал,"24,29 г","16,71 г",0 г
"Свинина, лопаточная часть корейки на кости, отдельно мясо и жир, жареная на сковороде",256 кКал,"25,02 г","16,56 г",0 г
"Свинина, лопаточная часть корейки на кости, постное мясо, жареная на огне",193 кКал,"24,99 г","9,56 г",0 г
"Свинина, лопаточная часть корейки на кости, постное мясо, жареная на сковороде",222 кКал,"26,38 г","12,14 г",0 г
"Свинина, лопаточная часть корейки на кости, постное мясо, запеченная",217 кКал,"25,7 г","11,89 г",0 г
"Свинина, лопаточная часть корейки на кости, постное мясо, тушеная",222 кКал,"28,02 г","11,29 г",0 г
"Свинина, лопаточная часть корейки на кости, тушеная",255 кКал,"26,54 г","15,71 г",0 г
"Свинина, лопаточная часть, запечённая",292 кКал,"23,28 г","21,39 г",0 г
"Свинина, лопаточная часть, постное мясо",148 кКал,"19,55 г","7,14 г",0 г
"Свинина, лопаточная часть, постное мясо, запечённая",230 кКал,"25,33 г","13,54 г",0 г
"Свинина, маринованная рулька",171 кКал,"19,11 г","10,54 г",0 г
"Свинина, мякоть окорока, тушеная",156 кКал,"31,11 г","2,56 г",0 г
"Свинина, мясо с рёбер средней части",211 кКал,"19,9 г","14,01 г",0 г
"Свинина, мясо с рёбер средней части, жареное на огне",260 кКал,"27,63 г","15,76 г",0 г
"Свинина, мясо с рёбер средней части, жареное на сковороде",256 кКал,"26,81 г","15,71 г",0 г
"Свинина, мясо с рёбер средней части, жареное насковороде.",273 кКал,"25,82 г","18,05 г",0 г
"Свинина, мясо с рёбер средней части, запечённое",252 кКал,"26,99 г","15,15 г",0 г
"Свинина, мясо с рёбер средней части, тушеное",255 кКал,"26,29 г","15,79 г",0 г
"Свинина, нарезаная кусками (ноги, филе, лопатки и ребра), мясо вместе с жиром",211 кКал,"18,22 г","14,79 г",0 г
"Свинина, окорок",333 кКал,15 г,"30,3 г",0 г
"Свинина, окорок в целом",245 кКал,"17,43 г","18,87 г",0 г
"Свинина, окорок в целом, запечённый",273 кКал,"26,83 г","17,61 г",0 г
"Свинина, окорок в целом, постное мясо",136 кКал,"20,48 г","5,41 г",0 г
"Свинина, окорок в целом, постное мясо, запечённый",211 кКал,"29,41 г","9,44 г",0 г
"Свинина, окорок, без костей, мясо с жиром, сырая",113 кКал,"22,88 г","1,71 г",0 г
"Свинина, пашина (брюшина)",518 кКал,"9,34 г","53,01 г",0 г
"Свинина, плечевая часть",193 кКал,"18,71 г","12,51 г",0 г
"Свинина, плечевая часть, запечённая",317 кКал,"23,47 г","24,01 г",0 г
"Свинина, плечевая часть, постное мясо, запечённая",228 кКал,"26,68 г","12,62 г",0 г
"Свинина, плечевая часть, постное мясо, тушеная",194 кКал,"26,76 г","8,87 г",0 г
"Свинина, плечевая часть, тушеная",235 кКал,"24,88 г","14,33 г",0 г
"Свинина, поджарка (из ноги, филе, лопатки и ребрышек)",216 кКал,"18,95 г","14,95 г",0 г
"Свинина, поджарка (из ноги, филе, лопатки и ребрышек), приготовленная",238 кКал,"26,36 г","13,89 г",0 г
"Свинина, поджарка (из окорока, филе и лопатки), постное мясо",134 кКал,"21,2 г","4,86 г",0 г
"Свинина, поджарка(из ноги, филе, лопатки), постное мясо, приготовленная",201 кКал,"27,51 г","9,21 г",0 г
"Свинина, подлопаточная часть",128 кКал,"21,65 г","3,91 г",0 г
"Свинина, подлопаточная часть, жареная на огне",155 кКал,"27,47 г","4,23 г",0 г
"Свинина, постное мясо с рёбер средней части",152 кКал,"21,8 г","6,48 г",0 г
"Свинина, постное мясо с рёбер средней части, жареное на огне на огне",216 кКал,"29,46 г","10,05 г",0 г
"Свинина, постное мясо с рёбер средней части, жареное на сковороде",224 кКал,"27,68 г","11,8 г",0 г
"Свинина, постное мясо с рёбер средней части, запечённое",214 кКал,"28,81 г","10,13 г",0 г
"Свинина, постное мясо с рёбер средней части, тушеное",211 кКал,"27,95 г","10,14 г",0 г
"Свинина, рёбра с грудинки с тонким слоем мяса",277 кКал,"15,47 г","23,4 г",0 г
"Свинина, рёбра с грудинки с тонким слоем мяса, запечённые",361 кКал,"20,89 г","30,86 г",0 г
"Свинина, рёбра с грудинки с тонким слоем мяса, тушеные",397 кКал,"29,06 г","30,3 г",0 г
"Свинина, рёбра с лопаточной части",189 кКал,"19,34 г","11,82 г",0 г
"Свинина, рёбра с лопаточной части без кости, жареные на огне",247 кКал,"26,28 г","15,73 г",0 г
"Свинина, рёбра с лопаточной части без кости, запечённые",270 кКал,"26,4 г","18,31 г",0 г
"Свинина, рёбра с лопаточной части, жареные на огне",260 кКал,"25,58 г","17,56 г",0 г
"Свинина, рёбра с лопаточной части, запечённые",359 кКал,"21,75 г","29,46 г",0 г
"Свинина, рёбра с лопаточной части, постное мясо",140 кКал,"20,76 г","5,64 г",0 г
