Продукт,Калорийность,Белки,Жиры,Углеводы
"Индейка, темное мясо с кожей",166 кКал,"19,81 г","8,97 г","0,15 г"
"Индейка, темное мясо с кожей,  запечённое",206 кКал,"27,27 г","9,95 г","0,07 г"
"Индейка, темное мясо, запечённое",173 кКал,"27,71 г","6,04 г",0 г
"Индейка, только кожа",407 кКал,"12,96 г","38,93 г","0,16 г"
"Индейка, только кожа, запечённая",459 кКал,"23,94 г","39,31 г","0,57 г"
"Индейка, только мясо",115 кКал,"22,64 г","1,93 г","0,14 г"
"Индейка, только мясо, запечённая",159 кКал,"29,06 г","3,84 г",0 г
"Индейка, только мясо, консервированное в бульоне",169 кКал,"23,68 г","6,86 г","1,47 г"
"Индейка, цыплята",134 кКал,"22,37 г","4,25 г",0 г
"Индейка, цыплята, белое мясо",108 кКал,"24,18 г","0,49 г",0 г
"Индейка, цыплята, белое мясо с кожей",133 кКал,"23,09 г","3,81 г",0 г
"Индейка, цыплята, белое мясо с кожей, запечённые",164 кКал,"28,77 г","4,58 г",0 г
"Индейка, цыплята, белое мясо, запечённые",140 кКал,"30,19 г","1,18 г",0 г
"Индейка, цыплята, грудка с кожей",125 кКал,"23,76 г","2,65 г",0 г
"Индейка, цыплята, грудка с кожей, запечённая",153 кКал,"29,07 г","3,2 г",0 г
"Индейка, цыплята, запечённые",172 кКал,"28,26 г","5,72 г",0 г
"Индейка, цыплята, крылышки",159 кКал,"20,85 г","7,72 г",0 г
"Индейка, цыплята, крылышки, запечённые",207 кКал,"27,65 г","9,87 г",0 г
"Индейка, цыплята, окорочка, мясо и кожа, приготовленные, жареные на открытом огне",170 кКал,"28,49 г","5,41 г",0 г
"Индейка, цыплята, окорочка, мясо и кожа, сырые",118 кКал,"20,13 г","3,57 г",0 г
"Индейка, цыплята, окорочка, только мясо, приготовленное, жареное на открытом огне",159 кКал,"29,19 г","3,77 г",0 г
"Индейка, цыплята, окорочка, только мясо, сырое",108 кКал,"20,35 г","2,37 г",0 г
"Индейка, цыплята, потроха и шейки",133 кКал,"22,15 г","4,25 г","0,05 г"
"Индейка, цыплята, потроха и шейки, запечённые",171 кКал,"28,08 г","5,64 г","0,04 г"
"Индейка, цыплята, спинки",151 кКал,"19,89 г","7,27 г",0 г
"Индейка, цыплята, спинки, запечённые",204 кКал,"26,15 г","10,24 г",0 г
"Индейка, цыплята, темное мясо",111 кКал,"20,46 г","2,67 г",0 г
"Индейка, цыплята, темное мясо с кожей",129 кКал,"20,06 г","4,79 г",0 г
"Индейка, цыплята, темное мясо с кожей, запечённые",182 кКал,"27,69 г","7,06 г",0 г
"Индейка, цыплята, темное мясо, запечённые",162 кКал,"28,84 г","4,31 г",0 г
"Индейка, цыплята, только кожа",283 кКал,"16,6 г","23,54 г",0 г
"Индейка, цыплята, только кожа, запечённая",299 кКал,"20,94 г","23,28 г",0 г
"Индейка, цыплята, только мясо",110 кКал,"22,32 г","1,58 г",0 г
"Индейка, цыплята, только мясо, запечённое",150 кКал,"29,56 г","2,63 г",0 г
"Индейка, шейки, только мясо",125 кКал,"16,51 г","6,04 г",0 г
"Индейка, шейки, только мясо, вареное на медленном огне",162 кКал,"22,48 г","7,36 г",0 г
Индюшата 1 кат.,182 кКал,"18,5 г","11,7 г","0,6 г"
Индюшата 2 кат.,134 кКал,"21,7 г",5 г,"0,6 г"
"Канадский гусь, грудка, только мясо",133 кКал,"24,31 г","4,02 г",0 г
"Котлеты (патти) из мяса индейки, обжаренныев панировке и кляре",283 кКал,14 г,18 г,"15,7 г"
"Котлеты рубленые, цыплята, по 2-22",238 кКал,"15,2 г","13,6 г","13,5 г"
"Котлеты, индейка, по 2-22",220 кКал,"18,6 г","12,2 г","8,7 г"
"Котлеты, курица, по 2-20",222 кКал,"18,2 г","10,4 г","13,8 г"
Куриная грудка (филе),113 кКал,"23,6 г","1,9 г","0,4 г"
"Куриная грудка для фахито, замороженная",135 кКал,"18,56 г","5,73 г","2,23 г"
"Куриное филе (грудка), приготовленное в микроволновой печи",252 кКал,"16,35 г","12,89 г","17,56 г"
"Куриные лапки, вареные",215 кКал,"19,4 г","14,6 г","0,2 г"
Куриные нагетсы,276 кКал,"13,89 г","18,06 г","14,38 г"
"Куриные нагетсы, приготовленные",296 кКал,"15,27 г","19,82 г","14,09 г"
Куриный окорочок,185 кКал,"21,3 г",11 г,"0,1 г"
Куриный фарш,143 кКал,"17,44 г","8,1 г","0,04 г"
"Куриный фарш, рубленный, подрумяненый на сковороде",189 кКал,"23,28 г","10,92 г",0 г
Курица 1 кат.,238 кКал,"18,2 г","18,4 г",0 г
Курица 2 кат.,159 кКал,"21,2 г","8,2 г",0 г
Курица бройлерная,200 кКал,"17,15 г","14,02 г",0 г
"Курица бройлерная, запечённая",259 кКал,"22,27 г","18,21 г",0 г
"Курица бройлерная, только мясо",116 кКал,"20,04 г","3,33 г",0 г
"Курица бройлерная, только мясо, запечённая",134 кКал,"23,3 г","3,87 г",0 г
"Курица в собственном соку, консервы",183 кКал,"23,2 г","9,9 г","0,4 г"
"Курица жареная, по 2-16",272 кКал,"23,3 г","19,8 г","0,1 г"
"Курица жаренная во фритюре, по 2-20",251 кКал,"24,5 г","11,2 г","13,3 г"
"Курица отварная, по 2-4",244 кКал,"22,6 г",17 г,0 г
"Курица тушенная с овощами, по 2-14",125 кКал,"5,5 г","7,1 г","9,6 г"
"Курица-гриль в оригинальной приправке, бройлеры или цыплята, грудка, приправленные, приготовленные на гриле, только мясо",137 кКал,28 г,"2,79 г",0 г
"Курица-гриль, бедро, мясо с кожей",226 кКал,"22,51 г","15,08 г","0,12 г"
"Курица-гриль, бедро, только мясо",193 кКал,"24,09 г","10,74 г",0 г
"Курица-гриль, голень с кожей",206 кКал,"25,65 г","11,46 г","0,12 г"
"Курица-гриль, голень, только мясо",172 кКал,"27,71 г","6,76 г",0 г
"Курица-гриль, грудка с кожей",175 кКал,"26,37 г","7,67 г","0,09 г"
"Курица-гриль, грудка, только мясо",144 кКал,"28,04 г","3,57 г",0 г
"Курица-гриль, кожа",378 кКал,"15,19 г","35,15 г","0,7 г"
"Курица-гриль, крылышки с кожей",257 кКал,"23,42 г","18,04 г","0,6 г"
"Курица-гриль, крылышки, только мясо",186 кКал,"28,34 г","7,79 г","0,54 г"
"Курица-гриль, спинка с кожей",251 кКал,"20,29 г","18,86 г","0,4 г"
"Курица-гриль, спинка, только мясо",212 кКал,"21,85 г","13,87 г","0,31 г"
"Курица, белое мясо, запечённое",153 кКал,"27,13 г","4,07 г",0 г
"Курица, белое мясо, тушеное",213 кКал,"33,04 г","7,98 г",0 г
"Курица, запечённая",223 кКал,"23,97 г","13,39 г",0 г
"Курица, кожа с окорочка, запечённая",462 кКал,"16,57 г","43,99 г",0 г
"Курица, кожа с окорочка, сырая",440 кКал,"9,58 г","44,23 г","0,79 г"
"Курица, кожа с окорочка, тушеная",443 кКал,"14,61 г","42,76 г",0 г
"Курица, консервированная, без бульона",185 кКал,"25,3 г","8,1 г","0,9 г"
"Курица, консервированная, только мясо, в бульоне",133 кКал,"22,41 г","4,69 г","0,23 г"
"Курица, консервированная, только мясо, в воде",129 кКал,"22,02 г","4,58 г",0 г
"Курица, консервированная, только мясо, сухой продукт",162 кКал,"27,52 г","5,72 г",0 г
"Курица, крылышки, замороженные, глазированные, с ароматизатором барбекью",211 кКал,"19,67 г","12,67 г","2,74 г"
"Курица, крылышки, замороженные, глазированные, с ароматизатором барбекью, разогретые в конвекционной печи",242 кКал,"22,24 г","14,87 г","2,86 г"
"Курица, крылышки, замороженные, глазированные, с ароматизатором барбекью, разогретые в микроволновой печи",248 кКал,"25,34 г","13,9 г","2,94 г"
"Курица, подготовленная к жарке, мясо, кожа, потроха и шейки, сырые",213 кКал,"17,09 г","15,46 г","0,09 г"
"Курица, подготовленная к жарке, потроха, сырые",127 кКал,"18,14 г","5,04 г","1,14 г"
"Курица, подготовленная к жарке, только мясо, сырое",111 кКал,"20,33 г","2,7 г",0 г
"Курица, подготовленная к тушению, мясо и кожа, сырые",258 кКал,"17,55 г","20,33 г",0 г
"Курица, подготовленная к тушению, мясо, кожа, потроха и шейки, сырые",251 кКал,"17,48 г","19,52 г","0,19 г"
"Курица, подготовленная к тушению, потроха, сырые",168 кКал,"17,89 г","9,21 г","2,13 г"
"Курица, подготовленная к тушению, только мясо, сырое",148 кКал,"21,26 г","6,32 г",0 г
"Курица, потроха и шейки, запечённые",220 кКал,"23,96 г","13,07 г","0,05 г"
"Курица, потроха и шейки, тушеные",214 кКал,"24,88 г","11,91 г",0 г
"Курица, потроха, вареные на медленном огне",165 кКал,"26,77 г","5,22 г","0,86 г"
"Курица, потроха, вареные на медленном огне",194 кКал,"25,73 г","9,3 г","0,11 г"
"Курица, приготовленная к жарке, белое мясо, только мясо, сырое",109 кКал,"22,2 г","1,63 г",0 г
"Курица, приготовленная к жарке, темное мясо, только мясо, сырое",113 кКал,"18,74 г","3,61 г",0 г
"Курица, приготовленная к тушению, белое мясо, только мясо, сырое",137 кКал,"23,1 г","4,21 г",0 г
"Курица, приготовленная к тушению, темное мясо, только мясо, сырое",157 кКал,"19,7 г","8,12 г",0 г
"Курица, темное мясо, запечённое",178 кКал,"23,25 г","8,75 г",0 г
"Курица, темное мясо, тушеное",258 кКал,"28,14 г","15,28 г",0 г
"Курица, только мясо, запечённое",167 кКал,"25,01 г","6,63 г",0 г
"Курица, только мясо, консервированное в бульоне",165 кКал,"21,77 г","7,95 г",0 г
"Курица, только мясо, тушеное",237 кКал,"30,42 г","11,89 г",0 г
"Курица, тушеная",285 кКал,"26,88 г","18,87 г",0 г
"Курица, цыплята-бройлеры",215 кКал,"18,6 г","15,06 г",0 г
"Курица, цыплята-бройлеры  2 кат.",180 кКал,"19,7 г","11,2 г",0 г
"Курица, цыплята-бройлеры 1 кат.",220 кКал,"18,7 г","16,1 г",0 г
"Курица, цыплята-бройлеры, бедро",221 кКал,"16,52 г","16,61 г","0,25 г"
"Курица, цыплята-бройлеры, бедро, запечённое",232 кКал,"23,26 г","14,71 г",0 г
"Курица, цыплята-бройлеры, бедро, мясо с кожей тушеное",229 кКал,"22,57 г","15,43 г",0 г
"Курица, цыплята-бройлеры, бедро, обжаренные в кляре",277 кКал,"21,61 г","16,53 г","8,78 г"
"Курица, цыплята-бройлеры, бедро, обжаренные в панировке",262 кКал,"26,75 г","14,98 г","3,08 г"
"Курица, цыплята-бройлеры, бедро, приготовленное на гриле, оригинальной приправке",233 кКал,"22,93 г","15,7 г","0,02 г"
"Курица, цыплята-бройлеры, бедро, тёмное мясо, тушеное",176 кКал,"24,55 г","8,63 г",0 г
"Курица, цыплята-бройлеры, бедро, только мясо",121 кКал,"19,66 г","4,12 г",0 г
"Курица, цыплята-бройлеры, бедро, только мясо, запечённое",179 кКал,"24,76 г","8,15 г",0 г
"Курица, цыплята-бройлеры, бедро, только мясо, обжаренное",218 кКал,"28,18 г","10,3 г","1,18 г"
"Курица, цыплята-бройлеры, бедро, только мясо, приготовленное на гриле",196 кКал,"24,06 г","11,09 г",0 г
"Курица, цыплята-бройлеры, бедро, только мясо, тушеное",195 кКал,25 г,"9,79 г",0 г
"Курица, цыплята-бройлеры, бедро, тушеное",232 кКал,"23,26 г","14,74 г",0 г
"Курица, цыплята-бройлеры, белое мясо",114 кКал,"23,2 г","1,65 г",0 г
"Курица, цыплята-бройлеры, белое мясо с кожей",186 кКал,"20,27 г","11,07 г",0 г
"Курица, цыплята-бройлеры, белое мясо с кожей, запечённая",222 кКал,"29,02 г","10,85 г",0 г
"Курица, цыплята-бройлеры, белое мясо с кожей, обжаренные в панировке",246 кКал,"30,45 г","12,09 г","1,72 г"
"Курица, цыплята-бройлеры, белое мясо с кожей, приготовленные, обжаренные в кляре",277 кКал,"23,55 г","15,44 г","9,5 г"
"Курица, цыплята-бройлеры, белое мясо с кожей, тушеные",201 кКал,"26,14 г","9,97 г",0 г
"Курица, цыплята-бройлеры, белое мясо, запечённое",173 кКал,"30,91 г","4,51 г",0 г
"Курица, цыплята-бройлеры, белое мясо, обжаренное",192 кКал,"32,82 г","5,54 г","0,42 г"
"Курица, цыплята-бройлеры, белое мясо, тушеное",159 кКал,"28,88 г","3,99 г",0 г
"Курица, цыплята-бройлеры, голень",161 кКал,"18,08 г","9,2 г","0,11 г"
"Курица, цыплята-бройлеры, голень, запечённая",191 кКал,"23,35 г","10,15 г",0 г
"Курица, цыплята-бройлеры, голень, обжаренная в кляре",268 кКал,"21,95 г","15,75 г","7,98 г"
"Курица, цыплята-бройлеры, голень, обжаренная в панировке",245 кКал,"26,96 г","13,72 г","1,53 г"
"Курица, цыплята-бройлеры, голень, приготовленная на гриле",215 кКал,"26,86 г","11,98 г","0,02 г"
"Курица, цыплята-бройлеры, голень, тёмное мясо с кожей, тушеное после предварительной обжаркиое",187 кКал,"22,72 г","10,73 г",0 г
"Курица, цыплята-бройлеры, голень, темное мясо, тушеное после предварительной обжаркиое",149 кКал,"23,93 г","5,95 г",0 г
"Курица, цыплята-бройлеры, голень, только мясо",116 кКал,"19,41 г","3,71 г",0 г
"Курица, цыплята-бройлеры, голень, только мясо, запечённая",155 кКал,"24,24 г","5,7 г",0 г
"Курица, цыплята-бройлеры, голень, только мясо, обжаренное",195 кКал,"28,62 г","8,08 г",0 г
"Курица, цыплята-бройлеры, голень, только мясо, приготовленное на гриле",176 кКал,"28,74 г","6,81 г",0 г
"Курица, цыплята-бройлеры, голень, только мясо, тушеное",169 кКал,"27,5 г","5,71 г",0 г
"Курица, цыплята-бройлеры, голень, тушеная",204 кКал,"25,32 г","10,64 г",0 г
"Курица, цыплята-бройлеры, грудка с кожей",172 кКал,"20,85 г","9,25 г",0 г
"Курица, цыплята-бройлеры, грудка с кожей, запечённая",197 кКал,"29,8 г","7,78 г",0 г
"Курица, цыплята-бройлеры, грудка с кожей, обжаренные в кляре",260 кКал,"24,84 г","13,2 г","8,69 г"
"Курица, цыплята-бройлеры, грудка с кожей, обжаренные в панировке",222 кКал,"31,84 г","8,87 г","1,54 г"
"Курица, цыплята-бройлеры, грудка с кожей, приготовленная на гриле",184 кКал,"27,48 г","8,18 г","0,02 г"
"Курица, цыплята-бройлеры, грудка с кожей, тушеные",184 кКал,"27,39 г","7,42 г",0 г
"Курица, цыплята-бройлеры, грудка, только мясо",120 кКал,"22,5 г","2,62 г",0 г
"Курица, цыплята-бройлеры, грудка, только мясо, жарено-тушеная",157 кКал,"32,06 г","3,24 г",0 г
"Курица, цыплята-бройлеры, грудка, только мясо, запечённая",165 кКал,"31,02 г","3,57 г",0 г
"Курица, цыплята-бройлеры, грудка, только мясо, обжаренное",187 кКал,"33,44 г","4,71 г","0,51 г"
"Курица, цыплята-бройлеры, грудка, только мясо, приготовленная на гриле",151 кКал,"30,54 г","3,17 г",0 г
"Курица, цыплята-бройлеры, грудка, только мясо, тушеное",151 кКал,"28,98 г","3,03 г",0 г
"Курица, цыплята-бройлеры, запечённые",239 кКал,"27,3 г","13,6 г",0 г
"Курица, цыплята-бройлеры, крылышки",191 кКал,"17,52 г","12,85 г",0 г
"Курица, цыплята-бройлеры, крылышки, запечённые",254 кКал,"23,79 г","16,87 г",0 г
"Курица, цыплята-бройлеры, крылышки, обжаренные в кляре",324 кКал,"19,87 г","21,81 г","10,64 г"
"Курица, цыплята-бройлеры, крылышки, обжаренные в панировке",321 кКал,"26,11 г","22,16 г","2,29 г"
"Курица, цыплята-бройлеры, крылышки, приготовленные на гриле",266 кКал,"24,34 г","18,77 г","0,04 г"
"Курица, цыплята-бройлеры, крылышки, только мясо",126 кКал,"21,97 г","3,54 г",0 г
"Курица, цыплята-бройлеры, крылышки, только мясо, запечённые",203 кКал,"30,46 г","8,13 г",0 г
"Курица, цыплята-бройлеры, крылышки, только мясо, обжаренное",211 кКал,"30,15 г","9,15 г",0 г
"Курица, цыплята-бройлеры, крылышки, только мясо, приготовленные на гриле",197 кКал,"27,69 г","9,53 г",0 г
"Курица, цыплята-бройлеры, крылышки, только мясо, тушеное",181 кКал,"27,18 г","7,18 г",0 г
"Курица, цыплята-бройлеры, крылышки, тушеные",249 кКал,"22,78 г","16,82 г",0 г
"Курица, цыплята-бройлеры, обжаренные в кляре",289 кКал,"22,54 г","17,35 г","9,12 г"
"Курица, цыплята-бройлеры, обжаренные в панировке",269 кКал,"28,56 г","14,92 г","3,05 г"
"Курица, цыплята-бройлеры, окорочка",214 кКал,"16,37 г","15,95 г","0,17 г"
"Курица, цыплята-бройлеры, окорочка, запечённые",184 кКал,"24,03 г","8,99 г",0 г
"Курица, цыплята-бройлеры, окорочка, обжаренные в кляре",273 кКал,"21,77 г","16,17 г","8,42 г"
"Курица, цыплята-бройлеры, окорочка, обжаренные в панировке",254 кКал,"26,84 г","14,43 г","2,4 г"
"Курица, цыплята-бройлеры, окорочка, только мясо",120 кКал,"19,16 г","4,22 г",0 г
"Курица, цыплята-бройлеры, окорочка, только мясо, запечённые",174 кКал,"24,22 г","7,8 г",0 г
"Курица, цыплята-бройлеры, окорочка, только мясо, обжаренное",208 кКал,"28,38 г","9,32 г","0,65 г"
"Курица, цыплята-бройлеры, окорочка, только мясо, тушеное",185 кКал,"26,26 г","8,06 г",0 г
"Курица, цыплята-бройлеры, окорочка, тушеные",220 кКал,"24,17 г","12,92 г",0 г
"Курица, цыплята-бройлеры, отделенный жир",629 кКал,"3,73 г","67,95 г",0 г
"Курица, цыплята-бройлеры, потроха",124 кКал,"17,88 г","4,47 г","1,8 г"
"Курица, цыплята-бройлеры, потроха и шейки",213 кКал,"18,33 г","14,83 г","0,13 г"
"Курица, цыплята-бройлеры, потроха и шейки, запечённые",234 кКал,"26,78 г","13,27 г","0,06 г"
"Курица, цыплята-бройлеры, потроха и шейки, обжаренные в кляре",291 кКал,"22,84 г","17,53 г","9,03 г"
"Курица, цыплята-бройлеры, потроха и шейки, тушеные",216 кКал,"24,49 г","12,37 г","0,06 г"
"Курица, цыплята-бройлеры, потроха и шейки,, обжаренные в панировке",272 кКал,"28,57 г","15,27 г","3,27 г"
"Курица, цыплята-бройлеры, потроха, вареные на медленном огне",157 кКал,"27,15 г","4,5 г",0 г
"Курица, цыплята-бройлеры, потроха, обжаренные",277 кКал,"32,54 г","13,46 г","4,35 г"
"Курица, цыплята-бройлеры, спинки",319 кКал,"14,05 г","28,74 г",0 г
"Курица, цыплята-бройлеры, спинки, запечённые",300 кКал,"25,95 г","20,97 г",0 г
"Курица, цыплята-бройлеры, спинки, обжаренные в кляре",331 кКал,"21,97 г","21,91 г","10,25 г"
"Курица, цыплята-бройлеры, спинки, обжаренные в панировке",331 кКал,"27,79 г","20,74 г","6,5 г"
"Курица, цыплята-бройлеры, спинки, приготовленные на гриле",260 кКал,"23,23 г","18,59 г","0,03 г"
"Курица, цыплята-бройлеры, спинки, только мясо, запечённые",239 кКал,"28,19 г","13,16 г",0 г
"Курица, цыплята-бройлеры, спинки, только мясо, обжаренное",288 кКал,"29,99 г","15,32 г","5,68 г"
"Курица, цыплята-бройлеры, спинки, только мясо, приготовленные на гриле",205 кКал,"25,34 г","11,54 г",0 г
"Курица, цыплята-бройлеры, спинки, только мясо, сырое",137 кКал,"19,56 г","5,92 г",0 г
"Курица, цыплята-бройлеры, спинки, только мясо, тушеное",209 кКал,"25,31 г","11,19 г",0 г
"Курица, цыплята-бройлеры, спинки, тушеные",258 кКал,"22,18 г","18,14 г",0 г
"Курица, цыплята-бройлеры, темное мясо",125 кКал,"20,08 г","4,31 г",0 г
"Курица, цыплята-бройлеры, темное мясо с кожей",237 кКал,"16,69 г","18,34 г",0 г
"Курица, цыплята-бройлеры, темное мясо с кожей, запечённое",253 кКал,"25,97 г","15,78 г",0 г
"Курица, цыплята-бройлеры, темное мясо с кожей, обжаренные в кляре",298 кКал,"21,85 г","18,64 г","9,38 г"
"Курица, цыплята-бройлеры, темное мясо с кожей, обжаренные в панировке",285 кКал,"27,22 г","16,91 г","4,08 г"
"Курица, цыплята-бройлеры, темное мясо с кожей, тушеные",233 кКал,"23,5 г","14,66 г",0 г
"Курица, цыплята-бройлеры, темное мясо, запечённое",205 кКал,"27,37 г","9,73 г",0 г
"Курица, цыплята-бройлеры, темное мясо, обжаренное",239 кКал,"28,99 г","11,62 г","2,59 г"
"Курица, цыплята-бройлеры, темное мясо, тушеное",192 кКал,"25,97 г","8,98 г",0 г
"Курица, цыплята-бройлеры, только кожа",349 кКал,"13,33 г","32,35 г",0 г
"Курица, цыплята-бройлеры, только кожа, запечённая",454 кКал,"20,36 г","40,68 г",0 г
"Курица, цыплята-бройлеры, только кожа, обжаренная в кляре",394 кКал,"10,32 г","28,83 г","23,15 г"
"Курица, цыплята-бройлеры, только кожа, обжаренная в панировке",502 кКал,"19,09 г","42,58 г","9,34 г"
"Курица, цыплята-бройлеры, только кожа, приготовленная на гриле",406 кКал,"17,66 г","37,24 г","0,11 г"
"Курица, цыплята-бройлеры, только кожа, тушеная",363 кКал,"15,22 г","33,04 г",0 г
"Курица, цыплята-бройлеры, только мясо",119 кКал,"21,39 г","3,08 г",0 г
"Курица, цыплята-бройлеры, только мясо, запечённое",190 кКал,"28,93 г","7,41 г",0 г
"Курица, цыплята-бройлеры, только мясо, обжаренное",219 кКал,"30,57 г","9,12 г","1,59 г"
"Курица, цыплята-бройлеры, только мясо, тушеное",177 кКал,"27,29 г","6,71 г",0 г
"Курица, цыплята-бройлеры, тушеные",219 кКал,"24,68 г","12,56 г",0 г
